Family	Genus	Species	Status	2020	lowest_priority	2021	2022	sample_collected	other_priority	family_representative	long_list
Amblystegiaceae	Amblystegium	serpens	dtol								DTOL
Amblystegiaceae	Campyliadelphus	chrysophyllus	dtol								DTOL
Amblystegiaceae	Campyliadelphus	elodes	dtol								DTOL
Amblystegiaceae	Campylium	bambergeri	dtol								DTOL
Amblystegiaceae	Campylium	protensum	dtol								DTOL
Amblystegiaceae	Campylium	stellatum	dtol	yes				DTOL			DTOL
Amblystegiaceae	Campylophyllopsis	calcarea	dtol								DTOL
Amblystegiaceae	Campylophyllum	halleri	dtol								DTOL
Amblystegiaceae	Conardia	compacta	dtol								DTOL
Amblystegiaceae	Cratoneuron	curvicaule	dtol								DTOL
Amblystegiaceae	Cratoneuron	filicinum	dtol				yes	DTOL			DTOL
Amblystegiaceae	Drepanocladus	aduncus	dtol								DTOL
Amblystegiaceae	Drepanocladus	lycopodioides	dtol								DTOL
Amblystegiaceae	Drepanocladus	polygamus	dtol								DTOL
Amblystegiaceae	Drepanocladus	sendtneri	dtol								DTOL
Amblystegiaceae	Drepanocladus	trifarius	dtol								DTOL
Amblystegiaceae	Drepanocladus	turgescens	dtol								DTOL
Amblystegiaceae	Hygroamblystegium	fluviatile	dtol								DTOL
Amblystegiaceae	Hygroamblystegium	humile	dtol								DTOL
Amblystegiaceae	Hygroamblystegium	tenax	dtol								DTOL
Amblystegiaceae	Hygroamblystegium	varium	dtol								DTOL
Amblystegiaceae	Hygrohypnum	luridum	dtol								DTOL
Amblystegiaceae	Hygrohypnum	styriacum	dtol								DTOL
Amblystegiaceae	Leptodictyum	riparium	dtol								DTOL
Amblystegiaceae	Microhypnum	sauteri	dtol								DTOL
Amblystegiaceae	Palustriella	commutata	dtol_family_representative	yes				DTOL		DTOL	DTOL
Amblystegiaceae	Palustriella	decipiens	dtol								DTOL
Amblystegiaceae	Palustriella	falcata	dtol_other_priority	yes				DTOL	DTOL		DTOL
Amblystegiaceae	Platyhypnum	duriusculum	dtol				yes	DTOL			DTOL
Amblystegiaceae	Platyhypnum	molle	dtol								DTOL
Amblystegiaceae	Platyhypnum	smithii	dtol								DTOL
Amblystegiaceae	Pseudocampylium	radicale	dtol								DTOL
Amblystegiaceae	Serpoleskea	confervoides	dtol								DTOL
Amblystegiaceae	Tomentypnum	nitens	dtol								DTOL
Amphidiaceae	Amphidium	lapponicum	dtol_other_priority			yes		DTOL	DTOL		DTOL
Amphidiaceae	Amphidium	mougeotii	dtol_family_representative	yes				DTOL		DTOL	DTOL
Andreaeaceae	Andreaea	alpestris	dtol								DTOL
Andreaeaceae	Andreaea	blyttii	dtol								DTOL
Andreaeaceae	Andreaea	frigida	dtol								DTOL
Andreaeaceae	Andreaea	hookeri	dtol_family_representative			yes		DTOL		DTOL	DTOL
Andreaeaceae	Andreaea	megistospora	dtol								DTOL
