Species_name_Stace4,#BSBI_name,Family_number,Family,Vernacular,Distribution_number_hectads,Distribution_UK,Ploidy_inferred,"Chromosome_numbers","Chromosome_numbers (Stace index, counts made on non-BI material) [other sources]",Frieda cytology notes,Annual_perennial,GS_1C_pg_min,GS_1C_pg_max,GS_counts,GB status,UoE_prioritisation,Earlham_prioritisation,RBGE_prioritization,York_prioritisation,UoCam comments,Kew priorities,RBGE,Kew living collection,Kew living collection status,MSB,Wytham,Other collection,Easy_availability_living_cols_or_ubiquitous,Species_name_Stace4,Family_number,Family,YEAR 1,YEAR 2,Notes,Buxton PRIORITY
Epilobium obscurum,Epilobium obscurum,73,Onagraceae,Short-fruited Willowherb,3131,Ubiquitous,2,36,,,P,0.30584037,0.30584037,1,native,,,,,,,,,,FOR DISTRIBUTION-NV,Y,,,Epilobium obscurum,73,Onagraceae,,,,
Epilobium palustre,Epilobium palustre,73,Onagraceae,Marsh Willowherb,3238,Ubiquitous,2,36,,,P,0.316393075,0.316393075,1,native,,,,,,,,,,FOR DISTRIBUTION-NV,,,,Epilobium palustre,73,Onagraceae,,,,
Epilobium parviflorum,Epilobium parviflorum,73,Onagraceae,Hoary Willowherb,2914,Ubiquitous,2,36,,,P,0.346644472,0.346644472,1,native,,,,,,,,Y,,FOR DISTRIBUTION-NV,Y,,Y,Epilobium parviflorum,73,Onagraceae,,,,
Epilobium roseum,Epilobium roseum,73,Onagraceae,Pale Willowherb,997,Abundant,2,36,,,P,0.34632252,0.34632252,1,native,,,,,,,,,,FOR DISTRIBUTION-VV,Y,,,Epilobium roseum,73,Onagraceae,,,,
Epilobium tetragonum,Epilobium tetragonum,73,Onagraceae,Square-stalked Willowherb,1077,Abundant,2,36,,,P,,,,native,,,,,,,,,,FOR DISTRIBUTION-VV,,,,Epilobium tetragonum,73,Onagraceae,,,,
Fuchsia magellanica,0,73,Onagraceae,Fuchsia,935,Abundant,,36,,,,,,,neophyte,,,,,,,,Y,Unrestricted-Natural Source-Chile South;Unrestricted-Natural Source-Los Lagos;Unrestricted--,,,,Y,Fuchsia magellanica,73,Onagraceae,,,,
Ludwigia grandiflora,0,73,Onagraceae,Uruguay Water-primrose,No info,,,80,,,,,,,neophyte,,,,,,,,,,,,,,Ludwigia grandiflora,73,Onagraceae,,,,
Ludwigia palustris,Ludwigia palustris,73,Onagraceae,Hampshire-purslane,20,Very rare,,16,,,A,0.42,0.42,1,native,,,,,,,,,,MANAGEMENT DECISION-NV,,,,Ludwigia palustris,73,Onagraceae,,,,
Acer campestre,Acer campestre,77,Sapindaceae,Field Maple,1802,Ubiquitous,2,26,,,P,0.624396422,1.2,2,native,,,,,,,,Y,Restricted by Agreement-Natural Source-Italy;Unrestricted-Natural Source-Great Britain;Unrestricted-Natural Source-Turkey;Unrestricted--;Restricted by Agreement--;Unrestricted-Natural Source-;Unrestricted-Natural Source-Iran;Unrestricted-Natural Source-North Caucasus;Unrestricted-Natural Source-Hungary,FOR DISTRIBUTION-VV,Y,,Y,Acer campestre,77,Sapindaceae,1,,,
Acer pseudoplatanus,0,77,Sapindaceae,Sycamore,3558,Ubiquitous,,,52,,,,,,neophyte,,,,,,,,Y,Restricted by Agreement-Natural Source-Italy;Unrestricted--,,Y,,Y,Acer pseudoplatanus,77,Sapindaceae,,,,
Aesculus hippocastanum,Aesculus hippocastanum,77,Sapindaceae,Horse Chestnut,2762,Ubiquitous,,40,,,P,,,,neophyte,,,,,,,,Y,Unrestricted--;Restricted by Agreement--Netherlands;Unrestricted-Natural Source-Greece,,Y,,Y,Aesculus hippocastanum,77,Sapindaceae,1,,,
Ailanthus altissima,0,79,Simaroubaceae,Tree-Of-Heaven,89,Infrequent,,,"64, 80",,,,,,neophyte,,,,,,,,Y,Unrestricted--;Unrestricted-Natural Source-Taiwan;Unrestricted-Natural Source-Xizang,,,,Y,Ailanthus altissima,79,Simaroubaceae,,1,,
Althaea officinalis,Althaea officinalis,80,Malvaceae,Marsh-mallow,213,Infrequent,,42,,,P,1.593703151,1.593703151,1,native,,,,,,,,Y,Unrestricted--;Unrestricted-Natural Source-Great Britain,MANAGEMENT DECISION-VV,,,Y,Althaea officinalis,80,Malvaceae,,,,
Malva arborea,Lavatera arborea,80,Malvaceae,Tree-mallow,530,Common,,36,,,,,,,native (inferred),,,,,,,Y,,,FOR DISTRIBUTION-NV,,,Y,Malva arborea,80,Malvaceae,,,,
Malva moschata,Malva moschata,80,Malvaceae,Musk-mallow,1753,Ubiquitous,6,42,,,P,1.299043973,1.299043973,1,native,,,,,,,,Y,Restricted by Agreement-Natural Source-Great Britain;Unrestricted--;Unrestricted-Natural Source-Great Britain,FOR DISTRIBUTION-VV,Y,,Y,Malva moschata,80,Malvaceae,1,,,
Malva neglecta,Malva neglecta,80,Malvaceae,Dwarf Mallow,1279,Abundant,2,42,,,A,,,,archaeophyte,,,,,,,,,,FOR DISTRIBUTION-NV,Y,,,Malva neglecta,80,Malvaceae,,,,
Malva sylvestris,Malva sylvestris,80,Malvaceae,Common Mallow,2158,Ubiquitous,2,42,,,P,,,,archaeophyte,,,,,,,,Y,Unrestricted--,FOR DISTRIBUTION-NV,Y,,Y,Malva sylvestris,80,Malvaceae,,,,
Tilia cordata,Tilia cordata,80,Malvaceae,Small-leaved Lime,934,Abundant,2,82,,,P,0.92753651,0.92753651,1,native,,,,,y,,,Y,Unrestricted-Natural Source-;Unrestricted-Natural Source-North Caucasus;Unrestricted-Natural Source-Great Britain;Unrestricted--,FOR DISTRIBUTION-VV,Y,,Y,Tilia cordata,80,Malvaceae,1,,,
Tilia platyphyllos,Tilia platyphyllos,80,Malvaceae,Large-leaved Lime,829,Abundant,2,82,,,P,0.914147649,0.914147649,1,native,,,,,y,,,Y,Restricted by Agreement-Natural Source-Italy;Unrestricted--,FOR DISTRIBUTION-VV,Y,,Y,Tilia platyphyllos,80,Malvaceae,1,,,
Daphne laureola,Daphne laureola,81,Thymelaeaceae,Spurge-laurel,1043,Abundant,2,18,,,P,2.985,2.985,1,native,,,,,,,,Y,Restricted by Agreement-Natural Source-Spain;Unrestricted--,FOR DISTRIBUTION-NV,Y,,Y,Daphne laureola,81,Thymelaeaceae,1,,,
Daphne mezereum,Daphne mezereum,81,Thymelaeaceae,Mezereon,197,Infrequent,2,18,,,P,2.754150789,4.4,2,native or alien,,,,,,,,Y,Unrestricted--;Restricted by Agreement-Natural Source-Switzerland;Unrestricted-Natural Source-Great Britain,MANAGEMENT DECISION-NV,,,Y,Daphne mezereum,81,Thymelaeaceae,,1,,
Helianthemum apenninum,Helianthemum apenninum,82,Cistaceae,White Rock-rose,7,Very rare,4,20,,,P,,,,native,,,,,,,,Y,Unrestricted--Great Britain;Restricted by Agreement-Natural Source-France;Restricted by Agreement-Natural Source-Great Britain;Restricted-Natural Source-,MANAGEMENT DECISION-NV,,,Y,Helianthemum apenninum,82,Cistaceae,,,,
Helianthemum nummularium,Helianthemum nummularium,82,Cistaceae,Common Rock-rose,1015,Abundant,4,20,,,P,2.2,2.2,1,native,,,,,,,Y,Y,Restricted by Agreement-Natural Source-Great Britain;Restricted by Agreement-Natural Source-;Unrestricted--;Unrestricted--Spain;Unrestricted-Natural Source-North Caucasus;Unrestricted-Natural Source-Austria,FOR DISTRIBUTION-VV,Y,,Y,Helianthemum nummularium,82,Cistaceae,1,,,Y
Helianthemum oelandicum,Helianthemum oelandicum,82,Cistaceae,Hoary Rock-rose,31,Very rare,4,22,,,P,,,,native,,,,,,,,Y,Unrestricted--,MANAGEMENT DECISION-NV,,,Y,Helianthemum oelandicum,82,Cistaceae,,,,
Tuberaria guttata,Tuberaria guttata,82,Cistaceae,Spotted Rock-rose,20,Very rare,,36,"24, 36",,A,3.61,3.61,1,native,,,,,,,,Y,Unrestricted-Natural Source-Great Britain,MANAGEMENT DECISION-NV,,,Y,Tuberaria guttata,82,Cistaceae,,1,,
Reseda lutea,Reseda lutea,85,Resedaceae,Wild Mignonette,1400,Abundant,,,48,,P,0.82,0.82,1,native or alien,,,,,,,,Y,Unrestricted--;Unrestricted-Natural Source-Austria,MANAGEMENT DECISION-NV,Y,,Y,Reseda lutea,85,Resedaceae,,1,,
Reseda luteola,Reseda luteola,85,Resedaceae,Weld,2106,Ubiquitous,2,26,,,B,,,,archaeophyte,,,,,,,Y,Y,Restricted by Agreement-Natural Source-Great Britain,FOR DISTRIBUTION-VV,Y,,Y,Reseda luteola,85,Resedaceae,1,,,
Alliaria petiolata,Alliaria petiolata,87,Brassicaceae,Garlic Mustard,2398,Ubiquitous,4,"36, 42",,,B,0.954685047,0.954685047,1,native,,,,,,,,Y,Unrestricted-Natural Source-Great Britain,FOR DISTRIBUTION-VV,Y,,Y,Alliaria petiolata,87,Brassicaceae,,,,
Arabidopsis petraea,Arabidopsis petraea,87,Brassicaceae,Northern Rock-cress,#N/A,,2,16,,,P,0.40928697,0.40928697,1,native,,,,,,,,,,,,,,Arabidopsis petraea,87,Brassicaceae,,,,
Arabidopsis thaliana,Arabidopsis thaliana,87,Brassicaceae,Thale Cress,2752,Ubiquitous,,10,,,A,0.151854443,0.4445,2,native,,,,,,,,,,FOR DISTRIBUTION-VV,,,,Arabidopsis thaliana,87,Brassicaceae,,,,
Arabis alpina,Arabis alpina,87,Brassicaceae,Alpine Rock-cress,3,Very rare,2,16,,,P,0.38,0.38,1,native,,,,,,,Y,,,MANAGEMENT DECISION-NV,,,Y,Arabis alpina,87,Brassicaceae,,,,
Arabis hirsuta,Arabis hirsuta,87,Brassicaceae,Hairy Rock-cress,1189,Abundant,4,32,,,B,0.614916591,0.614916591,1,native,,,,,,,,,,FOR DISTRIBUTION-NV,,,,Arabis hirsuta,87,Brassicaceae,,,,
Arabis scabra,Arabis scabra,87,Brassicaceae,Bristol Rock-cress,4,Very rare,2,16,,,P,0.41,0.41,1,native,,,,,,,,,,MANAGEMENT DECISION-NV,,,,Arabis scabra,87,Brassicaceae,,,,
Armoracia rusticana,Armoracia rusticana,87,Brassicaceae,Horse-radish,1657,Abundant,,,32,,P,,,,archaeophyte,,,,,,,,,,,Y,,,Armoracia rusticana,87,Brassicaceae,,,,
Barbarea vulgaris,Barbarea vulgaris,87,Brassicaceae,Winter-cress,2521,Ubiquitous,,16,,,B,0.247966987,0.247966987,1,native,,,,,,,,Y,Unrestricted--,FOR DISTRIBUTION-NV,Y,,Y,Barbarea vulgaris,87,Brassicaceae,,,,
Brassica nigra,Brassica nigra,87,Brassicaceae,Black Mustard,1152,Abundant,2,16,,,A,0.8,0.8,1,native or alien,,,,,,,,,,FOR DISTRIBUTION-VV,,,,Brassica nigra,87,Brassicaceae,,,,
Brassica oleracea,Brassica oleracea,87,Brassicaceae,Wild Cabbages,344,Common,2,18,,,P,0.8,0.8,1,native or alien,,,,,,,,Y,Unrestricted--;Restricted-Natural Source-Great Britain,MANAGEMENT DECISION-NV,,,Y,Brassica oleracea,87,Brassicaceae,,1,,
Brassica rapa,Brassica rapa,87,Brassicaceae,Turnip,2054,Ubiquitous,2,20,,,A,,,,archaeophyte,,,,,,,,,,,Y,,,Brassica rapa,87,Brassicaceae,,,,
Cakile maritima,Cakile maritima,87,Brassicaceae,Sea Rocket,729,Abundant,,18,,,A,0.68,0.68,1,native,,,,,,,Y,,,FOR DISTRIBUTION-NV,,,Y,Cakile maritima,87,Brassicaceae,1,,,
Camelina sativa,Camelina sativa,87,Brassicaceae,Gold-of-pleasure,271,Common,,,40,,A,,,,archaeophyte,,,,,,,,,,,Y,,Y,Camelina sativa,87,Brassicaceae,,,,
Capsella bursa-pastoris,Capsella bursa-pastoris,87,Brassicaceae,Shepherd's-purse,3564,Ubiquitous,"4, 2","32, 16",,,A,,,,archaeophyte,,,,,,,,Y,Restricted by Agreement-Natural Source-Italy,FOR DISTRIBUTION-VV,Y,,Y,Capsella bursa-pastoris,87,Brassicaceae,,,,
Cardamine amara,Cardamine amara,87,Brassicaceae,Large Bitter-cress,1159,Abundant,2,16,,,P,0.215540045,0.215540045,1,native,,,,,,,,,,MANAGEMENT DECISION-NV,Y,,,Cardamine amara,87,Brassicaceae,,,,
Cardamine bulbifera,Cardamine bulbifera,87,Brassicaceae,Coralroot,80,Rare,,,"32, 48, 96",,P,2.165,2.165,1,native,,,,,,,,Y,Unrestricted-Natural Source-Great Britain;Unrestricted-Natural Source-Greece,MANAGEMENT DECISION-NV,,,Y,Cardamine bulbifera,87,Brassicaceae,,,,
Cardamine flexuosa,Cardamine flexuosa,87,Brassicaceae,Wavy Bitter-cress,3464,Ubiquitous,4,32,,,P,0.501126721,0.9,2,native,,,,,,,,,,FOR DISTRIBUTION-VV,Y,,,Cardamine flexuosa,87,Brassicaceae,,,,
Cardamine hirsuta,Cardamine hirsuta,87,Brassicaceae,Hairy Bitter-cress,3342,Ubiquitous,2,16,,,A,0.197679578,0.197679578,1,native,,,,,,,,,,FOR DISTRIBUTION-VV,Y,,,Cardamine hirsuta,87,Brassicaceae,,,,
Cardamine impatiens,Cardamine impatiens,87,Brassicaceae,Narrow-leaved Bitter-cress,182,Infrequent,2,16,,,B,0.182205043,0.182205043,1,native,,,,,,,,Y,Restricted-Natural Source-Azerbaydzhan,MANAGEMENT DECISION-NV,,,Y,Cardamine impatiens,87,Brassicaceae,,,,
Cardamine pratensis,Cardamine pratensis,87,Brassicaceae,Cuckooflower,3663,Ubiquitous,"7 (+2), 7, 4 (-2), 9, 4, 7 (+1), 5 (-2), 8","58, 56, 30, 72, 32, 57, 38, 64",,,P,0.79444482,1.83,2,native,,,,,,,,Y,Restricted by Agreement-Natural Source-Great Britain,FOR DISTRIBUTION-NV,Y,,Y,Cardamine pratensis,87,Brassicaceae,,,,
Cardamine raphanifolia,0,87,Brassicaceae,Greater Cuckooflower,55,Rare,,,46,,,,,,neophyte,,,,,,,,Y,Unrestricted--,,,,Y,Cardamine raphanifolia,87,Brassicaceae,,,,
Cochlearia anglica,Cochlearia anglica,87,Brassicaceae,English Scurvygrass,393,Common,6,36,,,B,,,,native,,,,,,,,Y,Unrestricted-Natural Source-Great Britain,FOR DISTRIBUTION-NV,,,Y,Cochlearia anglica,87,Brassicaceae,,,,
Cochlearia danica,Cochlearia danica,87,Brassicaceae,Danish Scurvygrass,1505,Abundant,6,42,,,A,0.7,0.7,1,native,,,,,,,Y,,,FOR DISTRIBUTION-NV,,,Y,Cochlearia danica,87,Brassicaceae,,,,
Cochlearia micacea,Cochlearia micacea,87,Brassicaceae,Mountain Scurvygrass,37,Rare,,26,,,B,1.19,1.19,1,native,,,,,,,,,,MANAGEMENT DECISION-NV,,,,Cochlearia micacea,87,Brassicaceae,,,,
Cochlearia officinalis,Cochlearia officinalis,87,Brassicaceae,,1562,Abundant,"4, 4, 2, 4 (+2)","24, 24, 12, 26",,,P,0.85,0.85,1,native,,,,,,,Y,,,FOR DISTRIBUTION-VV,,,Y,Cochlearia officinalis,87,Brassicaceae,,,,
Cochlearia pyrenaica,Cochlearia pyrenaica,87,Brassicaceae,Pyrenean Scurvygrass,169,Infrequent,"2, 4","12,24",,,B,0.4,0.4,1,native,,,,,,,,,,FOR DISTRIBUTION-NV,,,,Cochlearia pyrenaica,87,Brassicaceae,,,,
Coincya wrightii,Coincya wrightii,87,Brassicaceae,Lundy Cabbage,1,Very rare,,24,,,P,,,,native,,,,,,,,,,MANAGEMENT DECISION-NV,,,,Coincya wrightii,87,Brassicaceae,,1,,
Crambe maritima,Crambe maritima,87,Brassicaceae,Sea-kale,316,Common,4,60,,,P,1.073880712,2.4185,2,native,,,,,,,Y,Y,Restricted-Natural Source-;Restricted by Agreement-Natural Source-Great Britain;Unrestricted-Natural Source-Great Britain,MANAGEMENT DECISION-VV,,,Y,Crambe maritima,87,Brassicaceae,,,,
Descurainia sophia,Descurainia sophia,87,Brassicaceae,Flixweed,663,Common,,,"28,56",,A,,,,archaeophyte,,,,,,,,,,FOR DISTRIBUTION-VV,Y,,Y,Descurainia sophia,87,Brassicaceae,,,,
Diplotaxis tenuifolia,Diplotaxis tenuifolia,87,Brassicaceae,Perennial Wall-rocket,595,Common,,,22,,P,,,,archaeophyte,,,,,,,,,,FOR DISTRIBUTION-VV,,,Y,Diplotaxis tenuifolia,87,Brassicaceae,,,,
Draba aizoides,Draba aizoides,87,Brassicaceae,Yellow Whitlowgrass,3,Very rare,2,16,,,P,,,,native,,,,,,,,,,MANAGEMENT DECISION-NV,,,,Draba aizoides,87,Brassicaceae,,,,
Draba incana,Draba incana,87,Brassicaceae,Hoary Whitlowgrass,250,Common,4,32,,,B,,,,native,,,,,,,Y,,,MANAGEMENT DECISION-NV,,,Y,Draba incana,87,Brassicaceae,,,,
Draba norvegica,Draba norvegica,87,Brassicaceae,Rock Whitlowgrass,34,Very rare,,,c.48,,P,,,,native,,,,,,,,Y,Unrestricted-Natural Source-Great Britain,MANAGEMENT DECISION-NV,,,Y,Draba norvegica,87,Brassicaceae,,,,
Drabella muralis,Draba muralis,87,Brassicaceae,Wall Whitlowgrass,288,Common,,,32,,,,,,native,,,,,,,,,,,,,Y,Drabella muralis,87,Brassicaceae,,,,
Erophila glabrescens,Erophila glabrescens,87,Brassicaceae,Glabrous Whitlowgrass,#N/A,,13,52,,,A,,,,native,,,,,,,,,,,,,,Erophila glabrescens,87,Brassicaceae,,,,
Erophila majuscula,Erophila majuscula,87,Brassicaceae,Hairy Whitlowgrass,#N/A,,13,52,,,A,,,,native,,,,,,,,,,,,,,Erophila majuscula,87,Brassicaceae,,,,
Erophila verna,Erophila verna,87,Brassicaceae,Common Whitlowgrass,2608,Ubiquitous,"13, 6, 2, 5 (+1), 7 (+3), 5 (-3), 4 (+2), 6 (+2)","52, 42, 14, 36, 52, 32, 30, 44",,,A,0.689621891,0.689621891,1,native (inferred),,,,,,,,,,,Y,,,Erophila verna,87,Brassicaceae,,,,
Erysimum cheiranthoides,Erysimum cheiranthoides,87,Brassicaceae,Treacle-mustard,1015,Abundant,,,16,,A,,,,archaeophyte,,,,,,,,,,,Y,,,Erysimum cheiranthoides,87,Brassicaceae,,,,
Erysimum cheiri,Erysimum cheiri,87,Brassicaceae,Wallflower,1018,Abundant,,,14,,P,,,,archaeophyte,,,,,,,,,,,Y,,,Erysimum cheiri,87,Brassicaceae,,,,
Hornungia petraea,Hornungia petraea,87,Brassicaceae,Hutchinsia,64,Rare,2,12,,,A,0.17,0.17,1,native,,,,,,,,,,MANAGEMENT DECISION-NV,,,,Hornungia petraea,87,Brassicaceae,,,,
Iberis amara,Iberis amara,87,Brassicaceae,Wild Candytuft,216,Infrequent,2,14,,,A,0.9,0.9,1,native,,,,,,,,Y,Unrestricted--,MANAGEMENT DECISION-NV,,,Y,Iberis amara,87,Brassicaceae,,,,
Isatis tinctoria,Isatis tinctoria,87,Brassicaceae,Woad,79,Rare,,,28,,B,,,,archaeophyte,,,,,,,,Y,Restricted by Agreement-Natural Source-Germany;Unrestricted-Natural Source-Sichuan;Unrestricted-Natural Source-Italy,MANAGEMENT DECISION-NV,,,Y,Isatis tinctoria,87,Brassicaceae,,,,
Lepidium campestre,Lepidium campestre,87,Brassicaceae,Field Pepperwort,914,Abundant,2,16,,,A,,,,archaeophyte,,,,,,,,,,MANAGEMENT DECISION-VV,Y,,,Lepidium campestre,87,Brassicaceae,,,,
Lepidium coronopus,Coronopus squamatus,87,Brassicaceae,Swine-cress,1443,Abundant,,,32,,,,,,archaeophyte (inferred),,,,,,,,,,MANAGEMENT DECISION-NV,Y,,,Lepidium coronopus,87,Brassicaceae,,,,
Lepidium heterophyllum,Lepidium heterophyllum,87,Brassicaceae,Smith's Pepperwort,1450,Abundant,2,16,,,B,0.2,0.2,1,native,,,,,,,,Y,Unrestricted-Natural Source-Great Britain,FOR DISTRIBUTION-NV,,,Y,Lepidium heterophyllum,87,Brassicaceae,,,,
Lepidium latifolium,Lepidium latifolium,87,Brassicaceae,Dittander,267,Common,3,24,,,P,0.59,1.04,2,native,,,,,,,,,,MANAGEMENT DECISION-VV,,,Y,Lepidium latifolium,87,Brassicaceae,,,,
Lepidium ruderale,Lepidium ruderale,87,Brassicaceae,Narrow-leaved Pepperwort,518,Common,,,"16, 32",,A,,,,archaeophyte,,,,,,,,,,,,,Y,Lepidium ruderale,87,Brassicaceae,,,,
Matthiola sinuata,Matthiola sinuata,87,Brassicaceae,Sea Stock,38,Rare,2,14,,,B,2.25,2.25,1,native or alien,,,,,,,,Y,Restricted by Agreement-Natural Source-Great Britain,MANAGEMENT DECISION-VV,,,Y,Matthiola sinuata,87,Brassicaceae,,,,
Microthlaspi perfoliatum,Microthlaspi perfoliatum,87,Brassicaceae,,38,Rare,,,"42, c.70",,A,0.542224957,0.542224957,1,native,,,,,,,,,,,,,,Microthlaspi perfoliatum,87,Brassicaceae,,,,
Nasturtium microphyllum,Nasturtium microphyllum,87,Brassicaceae,,1544,Abundant,4,64,,,P,0.683361225,0.683361225,1,native,,,,,,,,,,FOR DISTRIBUTION-NV,,,,Nasturtium microphyllum,87,Brassicaceae,,,,
Nasturtium officinale,Nasturtium officinale,87,Brassicaceae,,3176,Ubiquitous,2,32,,,P,0.537553185,0.537553185,1,native,,,,,,,,,,FOR DISTRIBUTION-VV,Y,,,Nasturtium officinale,87,Brassicaceae,,,,
Noccaea caerulescens,Noccaea caerulescens,87,Brassicaceae,Alpine Penny-cress,71,Rare,2,14,,,P,0.243981673,0.243981673,1,native,,,,,,,,,,MANAGEMENT DECISION-NV,,,,Noccaea caerulescens,87,Brassicaceae,,,,
Rorippa amphibia,Rorippa amphibia,87,Brassicaceae,Great Yellow-cress,751,Abundant,"2, 4","16, 32",,,P,0.535322692,0.535322692,1,native,,,,,,,,,,FOR DISTRIBUTION-NV,Y,,,Rorippa amphibia,87,Brassicaceae,,,,
Rorippa islandica,Rorippa islandica,87,Brassicaceae,Northern Yellow-cress,82,Rare,2,16,,,A,0.535,0.535,1,native,,,,,,,,,,MANAGEMENT DECISION-NV,Y,,,Rorippa islandica,87,Brassicaceae,,,,
Rorippa palustris,Rorippa palustris,87,Brassicaceae,Marsh Yellow-cress,1695,Abundant,4,32,,,A,0.525137308,0.525137308,1,native,,,,,,,,,,FOR DISTRIBUTION-NV,,,,Rorippa palustris,87,Brassicaceae,,,,
Rorippa sylvestris,Rorippa sylvestris,87,Brassicaceae,Creeping Yellow-cress,1256,Abundant,3,48,,,P,0.423163104,0.423163104,1,native,,,,,,,,,,FOR DISTRIBUTION-NV,,,,Rorippa sylvestris,87,Brassicaceae,,,,
Sinapis alba,Sinapis alba,87,Brassicaceae,White Mustard,1262,Abundant,3,24,,,A,,,,archaeophyte,,,,,,,,Y,Unrestricted--,MANAGEMENT DECISION-VV,,,Y,Sinapis alba,87,Brassicaceae,,,,
Sinapis arvensis,Sinapis arvensis,87,Brassicaceae,Charlock,3159,Ubiquitous,2,18,,,A,,,,archaeophyte,,,,,,,,,,MANAGEMENT DECISION-NV,Y,,,Sinapis arvensis,87,Brassicaceae,,,,
Sisymbrium officinale,Sisymbrium officinale,87,Brassicaceae,Hedge Mustard,2910,Ubiquitous,2,14,,,A,,,,archaeophyte,,,,,,,,,,FOR DISTRIBUTION-VV,Y,,,Sisymbrium officinale,87,Brassicaceae,,,,
Subularia aquatica,Subularia aquatica,87,Brassicaceae,Awlwort,358,Common,,,"28, c.36",,A,,,,native,,,,,,,,,,MANAGEMENT DECISION-NV,,,Y,Subularia aquatica,87,Brassicaceae,,,,
Teesdalia nudicaulis,Teesdalia nudicaulis,87,Brassicaceae,Shepherd's Cress,530,Common,,,36,,A,0.525866498,0.525866498,1,native,,,,,,,,,,MANAGEMENT DECISION-NV,,,Y,Teesdalia nudicaulis,87,Brassicaceae,,,,
Thlaspi arvense,Thlaspi arvense,87,Brassicaceae,Field Penny-cress,1763,Ubiquitous,2,14,,,A,,,,archaeophyte,,,,,,,,Y,Unrestricted-Natural Source-Mongolia,FOR DISTRIBUTION-NV,,,Y,Thlaspi arvense,87,Brassicaceae,,,,
Thlaspi caerulescens,Thlaspi caerulescens,87,Brassicaceae,Alpine Penny-cress,71,Rare,2,14,,,P,,,,native (inferred),,,,,,,,,,,,,,Thlaspi caerulescens,87,Brassicaceae,,,,
Turritis glabra,Arabis glabra,87,Brassicaceae,Tower Mustard,182,Infrequent,2,12,,,,0.24,0.382989442,2,native (inferred),,,,,,,,,,FOR DISTRIBUTION-NV,,,,Turritis glabra,87,Brassicaceae,,,,
Thesium humifusum,Thesium humifusum,88,Santalaceae,Bastard-toadflax,151,Infrequent,4,26,,,P,0.855,0.855,1,native,,,,,,,,,,MANAGEMENT DECISION-NV,,,,Thesium humifusum,88,Santalaceae,,1,,
Viscum album,Viscum album,88,Santalaceae,Mistletoe,916,Abundant,2,20,,,P,93.78,93.78,1,native,,,,,,,,Y,Unrestricted--,,Y,,Y,Viscum album,88,Santalaceae,,,,
Frankenia laevis,Frankenia laevis,89,Frankeniaceae,Sea-heath,79,Rare,,30,,,P,,,,native,,,,,,,,Y,Unrestricted--,MANAGEMENT DECISION-NV,,,Y,Frankenia laevis,89,Frankeniaceae,,1,,
Armeria maritima,Armeria maritima,91,Plumbaginaceae,Thrift,1539,Abundant,2,18,,,P,4.275,4.275,1,native,,,,,Charismatic well know Plumbag,,Y,Y,Unrestricted--Europe;Unrestricted--;Unrestricted--Great Britain;Restricted by Agreement-Natural Source-Great Britain,MANAGEMENT DECISION-NV,,,Y,Armeria maritima,91,Plumbaginaceae,1,,,
Limonium auriculae-ursifolium,Limonium auriculae-ursifolium,91,Plumbaginaceae,Broad-leaved Sea-lavender,3,Very rare,,25,,,P,,,,native,,,,,,,,,,,,,,Limonium auriculae-ursifolium,91,Plumbaginaceae,,,,
Limonium bellidifolium,Limonium bellidifolium,91,Plumbaginaceae,Matted Sea-lavender,14,Very rare,2,18,,,P,,,,native,,,,,,,,,,MANAGEMENT DECISION-NV,,,,Limonium bellidifolium,91,Plumbaginaceae,,,,
Limonium binervosum,Limonium binervosum,91,Plumbaginaceae,Rock Sea-Lavender agg.,33,Very rare,,35,,,P,3.535,3.535,1,native,,,,,,,,Y,Restricted by Agreement-Natural Source-Great Britain,MANAGEMENT DECISION-NV,,,Y,Limonium binervosum,91,Plumbaginaceae,,,,
Limonium dodartiforme,Limonium dodartiforme,91,Plumbaginaceae,Purbeck Sea-lavender,8,Very rare,,35,,,P,,,,native,,,,,,,,,,,,,,Limonium dodartiforme,91,Plumbaginaceae,,,,
Limonium humile,Limonium humile,91,Plumbaginaceae,Lax-flowered Sea-lavender,200,Infrequent,"6, 4, 5 (+4), 6, 5 (+3)","54, 36, 49, 54, 48",,,P,3.025,3.025,1,native,,,,,,,,,,MANAGEMENT DECISION-NV,,,,Limonium humile,91,Plumbaginaceae,,,,
Limonium loganicum,Limonium loganicum,91,Plumbaginaceae,Logan's Sea-lavender,1,Very rare,4,36,,,P,,,,native,,,,,,,,,,,,,,Limonium loganicum,91,Plumbaginaceae,,,,
Limonium normannicum,Limonium normannicum,91,Plumbaginaceae,Alderney Sea-lavender,4,Very rare,,25,,,P,,,,native,,,,,,,,,,,,,,Limonium normannicum,91,Plumbaginaceae,,,,
Limonium paradoxum,Limonium paradoxum,91,Plumbaginaceae,St David's Sea-lavender,1,Very rare,,"33, 36",,,P,,,,native,,,,,,,,,,,,,,Limonium paradoxum,91,Plumbaginaceae,,,,
Limonium parvum,Limonium parvum,91,Plumbaginaceae,Small Sea-lavender,1,Very rare,,35,,,P,,,,native,,,,,,,,,,,,,,Limonium parvum,91,Plumbaginaceae,,,,
Limonium transwallianum,Limonium transwallianum,91,Plumbaginaceae,Giltar Sea-lavender,1,Very rare,,35,,,P,,,,native,,,,,,,,,,,,,,Limonium transwallianum,91,Plumbaginaceae,,,,
