"Infra Class","Order","Family","Common name","Species","Synonym*","2n","Estimated_haploid_2n/2","Reference"
"NEOGNATHAE","ANSERIFORMES","Anatidae","","Anser indicus","Eulabeia indica","82","41","Itoh et al. 1969"
"NEOGNATHAE","ANSERIFORMES","Anatidae","","Anser rossii","","82","41","Be�ak et al. 1975"
"NEOGNATHAE","ANSERIFORMES","Anatidae","","Aythya affinis","","80","40","Be�ak et al. 1973; Shields 1982"
"NEOGNATHAE","ANSERIFORMES","Anatidae","","Aythya americana","","80","40","Be�ak et al. 1973"
"NEOGNATHAE","ANSERIFORMES","Anatidae","","Aythya ferina","","80","40","Hammar 1970"
"NEOGNATHAE","ANSERIFORMES","Anatidae","","Aythya fuligula","","80","40","Be�ak et al. 1973"
"NEOGNATHAE","ANSERIFORMES","Anatidae","","Aythya valisineria","","80","40","Be�ak et al. 1973"
"NEOGNATHAE","ANSERIFORMES","Anatidae","","Branta canadensis","","80","40","Hammar 1970; Takagi and Sasaki 1974"
"NEOGNATHAE","ANSERIFORMES","Anatidae","","Bucephala clangula","","84","42","Hammar 1970"
"NEOGNATHAE","ANSERIFORMES","Anatidae","","Cairina moschata","","80","40","Aguiar 1968; Be�ak et al. 1973; W�jcik and Smalec 2008"
"NEOGNATHAE","ANSERIFORMES","Anatidae","","Cereopsis novaehollandiae","","92","46","Belterman and De Boer 1984"
"NEOGNATHAE","ANSERIFORMES","Anatidae","","Chloephaga rubidiceps","","80","40","Belterman and De Boer 1984"
"NEOGNATHAE","ANSERIFORMES","Anatidae","","Coscoroba coscoroba","","98","49","Rodrigues et al. 2014"
"NEOGNATHAE","ANSERIFORMES","Anatidae","","Cygnus cygnus","","80","40","Takagi and Sasaki 1974; Uno et al. 2019"
"NEOGNATHAE","ANSERIFORMES","Anatidae","","Cygnus melancoryphus","","78","39","Oliveira et al. 2001"
"NEOGNATHAE","ANSERIFORMES","Anatidae","","Cygnus olor","","80","40","Hammar 1970; Takagi and Sasaki 1974"
"NEOGNATHAE","ANSERIFORMES","Anatidae","","Dendrocygna bicolor","","80","40","Be�ak et al. 1973"
"NEOGNATHAE","ANSERIFORMES","Anatidae","","Lophodytes cucullatus","Mergus cucullatus","82","41","Be�ak et al. 1973"
"NEOGNATHAE","ANSERIFORMES","Anatidae","","Mareca strepera","Anas strepera","80","40","Be�ak et al. 1973"
"NEOGNATHAE","ANSERIFORMES","Anatidae","","Mergus merganser","","82","41","Hammar 1970"
"NEOGNATHAE","ANSERIFORMES","Anatidae","","Mergus serrator","","80","40","Makino 1951"
"NEOGNATHAE","ANSERIFORMES","Anatidae","","Netta rufina","","82","41","Belterman and De Boer 1984"
"NEOGNATHAE","ANSERIFORMES","Anatidae","","Oxyura jamaicensis","","80","40","Be�ak et al. 1975"
"NEOGNATHAE","ANSERIFORMES","Anatidae","","Sarkidiornis melanotos","","80","40","Oliveira et al. 2001"
"NEOGNATHAE","ANSERIFORMES","Anatidae","","Somateria mollissima","","80","40","Hammar 1970"
"NEOGNATHAE","ANSERIFORMES","Anatidae","","Spatula clypeata","Anas clypeata","80","40","Be�ak et al. 1973; Abu-Almaaty et al. 2019"
"NEOGNATHAE","ANSERIFORMES","Anatidae","","Spatula discors","Anas discors","80","40","Be�ak et al. 1973"
"NEOGNATHAE","ANSERIFORMES","Anatidae","","Spatula querquedula","Anas querquedula","74","37","Ebied et al. 2005"
"NEOGNATHAE","ANSERIFORMES","Anatidae","","Tadorna tadorna","","82","41","Hammar 1970; Be�ak et al. 1973"
"NEOGNATHAE","ANSERIFORMES","Anhimidae","Screamers","Chauna chavaria","","80","40","Takagi and Sasaki 1974"
"NEOGNATHAE","ANSERIFORMES","Anseranatidae","Magpie Goose","Anseranas semipalmata","","78","39","Belterman and De Boer 1984"
"NEOGNATHAE","GALLIFORMES","Cracidae","Chachalacas, Curassows and Guans","Crax fasciolata","","88","44","Ledesma et al. 2003b"
"NEOGNATHAE","GALLIFORMES","Cracidae","","Mitu mitu","Crax mitu","80","40","De Boer and Belterman 1981"
"NEOGNATHAE","GALLIFORMES","Cracidae","","Mitu tuberosum","","82","41","Be�ak et al. 1971; Takagi and Sasaki 1974"
"NEOGNATHAE","GALLIFORMES","Cracidae","","Nothocrax urumutum","","92","46","Oliveira et al. 2001"
"NEOGNATHAE","GALLIFORMES","Cracidae","","Ortalis canicollis","","78","39","Belterman and De Boer 1984"
"NEOGNATHAE","GALLIFORMES","Cracidae","","Penelope jacquacu","","80","40","Sasaki et al. 1982"
"NEOGNATHAE","GALLIFORMES","Cracidae","","Penelope obscura","","78","39","Ledesma et al. 2003b"
