	Species_name	Subspecies	Common Name	Family	Phase	sample_collected	sample_acquired	in_progress	insdc_submitted	sequencing_status	long_list	other_priority	family_representative
4896	Lalage moesta		White-browed Triller	Campephagidae		nan	nan	nan	nan	nan	B10K		
4899	Lalage polioptera		Indochinese Cuckooshrike	Campephagidae		nan	nan	nan	nan	nan	B10K		
4903	Lalage typica		Mauritius Cuckooshrike	Campephagidae		nan	nan	nan	nan	nan	B10K		
4927	Lamprotornis nitens	nitens	Cape Starling	Sturnidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
4946	Laniarius holomelas		Albertine Sooty Boubou	Malaconotidae		nan	nan	nan	nan	nan	B10K		
4953	Laniarius sublacteus		East Coast Boubou	Malaconotidae		nan	nan	nan	nan	nan	B10K		
4965	Lanius borealis		Northern Shrike	Laniidae		nan	nan	nan	nan	nan	B10K		
4972	Lanius cristatus	lucionensis	Brown Shrike	Laniidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
4977	Lanius giganteus		Giant Grey Shrike	Laniidae		nan	nan	nan	nan	nan	B10K		
4978	Lanius gubernator		Emin's Shrike	Laniidae		nan	nan	nan	nan	nan	B10K		
4979	Lanius humeralis		Northern Fiscal	Laniidae		nan	nan	nan	nan	nan	B10K		
5032	Laterallus levraudi		Rusty-flanked Crake	Rallidae		nan	nan	nan	nan	nan	B10K		
5033	Laterallus melanophaius	melanophaius	Rufous-sided Crake	Rallidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
5036	Laterallus xenopterus		Rufous-faced Crake	Rallidae		nan	nan	nan	nan	nan	B10K		
