	Species_name	Subspecies	Common_Name	Family	Phase	sample_collected	sample_acquired	in_progress	insdc_submitted	sequencing_status	long_list	other_priority	family_representative
7498	Platyrinchus flavigularis		Yellow-throated Spadebill	Platyrinchidae							B10K		
7499	Platyrinchus leucoryphus		Russet-winged Spadebill	Platyrinchidae							B10K		
7500	Platyrinchus mystaceus		White-throated Spadebill	Platyrinchidae	Phase Genus						B10K	B10K	
7501	Platyrinchus platyrhynchos		White-crested Spadebill	Platyrinchidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
7502	Platyrinchus saturatus		Cinnamon-crested Spadebill	Platyrinchidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
7504	Platyspiza crassirostris		Vegetarian Finch	Thraupidae							B10K		
7510	Plectrophenax hyperboreus		McKay's Bunting	Plectrophenacidae							B10K		
7511	Plectrophenax nivalis	insulae	Snow Bunting	Plectrophenacidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
7516	Plesiodryas albonotata		Black-bibbed Robin	Petroicidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
7517	Plocepasser donaldsoni		Donaldson Smith's Sparrow Weaver	Ploceidae							B10K		
7520	Plocepasser superciliosus		Chestnut-crowned Sparrow Weaver	Ploceidae							B10K		
7591	Pluvianellus socialis		Magellanic Plover	Chionidae	Phase Family	B10K	B10K	B10K	B10K	insdc_submitted	B10K		B10K
7592	Pluvianus aegyptius		Egyptian Plover	Pluvianidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
7593	Pnoepyga albiventer	albiventer	Scaly-breasted Wren Babbler	Pnoepygidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
7594	Pnoepyga formosana		Taiwan Wren Babbler	Pnoepygidae							B10K		
7595	Pnoepyga immaculata		Nepal Wren Babbler	Pnoepygidae							B10K		
7596	Pnoepyga pusilla		Pygmy Wren Babbler	Pnoepygidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
7602	Podiceps andinus		Colombian Grebe	Podicipedidae							B10K		
7610	Podiceps occipitalis		Silvery Grebe	Podicipedidae							B10K		
7611	Podiceps taczanowskii		Junin Grebe	Podicipedidae							B10K		
